runId,configId,gradeRank,isComputer,isServeraiComputer,name,nickName,openId,playerId,playerLevel,playerUid,proficiency,runId,worldId,camp
12,507,16,False,False,李信,J​immy,owanlskbENKsl8RmlzcNzhnedEDo,1759,30,620560930,4,12,4016,camp1
33,174,16,False,False,虞姬,予机制抗衡,owanlskeaLCrwuYRBeX8g1XfRb70,280,30,1956986947,4,33,4110,camp1
45,150,16,False,False,韩信,全班倒数第一,owanlssgV25eGiM0Ssm5hpvH1cXw,959,30,1287495687,3,45,4079,camp1
57,141,16,False,False,貂蝉,藍,owanlshSonmiqiGjhUAHJrutOsZc,1163,30,1269310942,5,57,4020,camp1
8,184,16,False,False,蔡文姬,⼩鹿不要乱撞,owanlsq0gTuelFwEyxERNZNQ-ee0,19,30,1822823564,5,8,4039,camp1
20,106,16,False,False,小乔,⁠冷⁠⁠⁠,owanlsn1R6MH-NSajIvzcMe8wfo8,23,30,420874036,4,20,4017,camp2
24,527,16,False,False,蒙恬,摆一次又何妨,owanlshzxmEG1GV_OIhZC9Gr6w7s,1767,30,726467305,4,24,4028,camp2
37,187,16,False,False,东皇,✿單排上百星,owanlsrqR0nqKMXTyeByekMh9bkc,2736,30,612549687,5,37,4046,camp2
49,545,16,False,False,莱西奥,不甜了,owanlsuY2SWgchMYgYXqSZQVJmZk,2978,28,440265517,5,49,7011,camp2
65,522,16,False,False,曜,孟雷的星怒,owanlsmMvNoT2qbeWpmCePMO_ADc,1635,30,1230319169,5,65,4135,camp2
